rank,blind_id,sample_id,unblinded_label,primary_metric,primary_metric_score,structure_score,persistence_score,preprocessing_variant,ocr_confidence,ocr_text,source_path,frame_index,control_type,q_value,detector_family_scores,processed_path
1,B000003,ctrl-cap-99cb0c3bb8-frame-000001-block_shuffle,control,structure_score,0.546526,0.546526,0.808967,sharpen_otsu,0.0,,runs/run-20260710T153757-bef30d8b/generated_controls/cap-99cb0c3bb8-frame-000001/block_shuffle.png,1,block_shuffle,0.916667,"{'diffraction': 0.331983, 'speckle': 0.804326, 'symbol': 0.5, 'texture': 0.524904}",runs/run-20260710T153757-bef30d8b/processed/B000003_sharpen_otsu.png
2,B000010,cap-bf2f196629-frame-000000,control,structure_score,0.429106,0.429106,0.982447,adaptive_51,0.0,,frames/cap-bf2f196629/frame_000000.png,0,,0.916667,"{'diffraction': 0.575232, 'speckle': 0.37685, 'symbol': 0.825, 'texture': 0.28951}",runs/run-20260710T153757-bef30d8b/processed/B000010_adaptive_51.png
3,B000007,cap-bf2f196629-frame-000001,control,structure_score,0.423833,0.423833,0.982447,adaptive_51,0.0,,frames/cap-bf2f196629/frame_000001.png,1,,0.916667,"{'diffraction': 0.587704, 'speckle': 0.378598, 'symbol': 0.75, 'texture': 0.293106}",runs/run-20260710T153757-bef30d8b/processed/B000007_adaptive_51.png
4,B000006,cap-99cb0c3bb8-frame-000001,laser,structure_score,0.423704,0.423704,0.712202,sharpen_otsu,0.0,,frames/cap-99cb0c3bb8/frame_000001.png,1,,0.916667,"{'diffraction': 0.346931, 'speckle': 0.682258, 'symbol': 0.275, 'texture': 0.432805}",runs/run-20260710T153757-bef30d8b/processed/B000006_sharpen_otsu.png
5,B000009,ctrl-cap-99cb0c3bb8-frame-000001-rotated,control,structure_score,0.41101,0.41101,0.712202,sharpen_otsu,0.0,,runs/run-20260710T153757-bef30d8b/generated_controls/cap-99cb0c3bb8-frame-000001/rotated.png,1,rotated,0.916667,"{'diffraction': 0.346931, 'speckle': 0.682258, 'symbol': 0.275, 'texture': 0.433205}",runs/run-20260710T153757-bef30d8b/processed/B000009_sharpen_otsu.png
6,B000011,synthetic-positive-known-text,synthetic_positive,structure_score,0.223575,0.223575,0.0,morph_gradient,0.0,,runs/run-20260710T153757-bef30d8b/synthetic_positive/known_text.png,0,,0.916667,"{'diffraction': 0.321111, 'speckle': 1.0, 'symbol': 0.4, 'texture': 0.102454}",runs/run-20260710T153757-bef30d8b/processed/B000011_morph_gradient.png
7,B000001,ctrl-cap-99cb0c3bb8-frame-000000-block_shuffle,control,structure_score,0.042504,0.042504,0.9936,invert_otsu,0.0,,runs/run-20260710T153757-bef30d8b/generated_controls/cap-99cb0c3bb8-frame-000000/block_shuffle.png,0,block_shuffle,0.916667,"{'diffraction': 0.323122, 'speckle': 0.013204, 'symbol': 0.0, 'texture': 0.064134}",runs/run-20260710T153757-bef30d8b/processed/B000001_invert_otsu.png
8,B000004,cap-99cb0c3bb8-frame-000000,laser,structure_score,0.042344,0.042344,0.9936,invert_otsu,0.0,,frames/cap-99cb0c3bb8/frame_000000.png,0,,0.916667,"{'diffraction': 0.288801, 'speckle': 0.01274, 'symbol': 0.0, 'texture': 0.063876}",runs/run-20260710T153757-bef30d8b/processed/B000004_invert_otsu.png
9,B000005,ctrl-cap-99cb0c3bb8-frame-000000-rotated,control,structure_score,0.042344,0.042344,0.9968,invert_otsu,0.0,,runs/run-20260710T153757-bef30d8b/generated_controls/cap-99cb0c3bb8-frame-000000/rotated.png,0,rotated,0.950618,"{'diffraction': 0.288801, 'speckle': 0.01274, 'symbol': 0.0, 'texture': 0.063876}",runs/run-20260710T153757-bef30d8b/processed/B000005_invert_otsu.png
10,B000002,ctrl-cap-99cb0c3bb8-frame-000001-blank_mean,control,structure_score,0.0,0.0,0.8467,grayscale,0.0,,runs/run-20260710T153757-bef30d8b/generated_controls/cap-99cb0c3bb8-frame-000001/blank_mean.png,1,blank_mean,1.0,"{'diffraction': 0.0, 'speckle': 0.0, 'symbol': 0.0, 'texture': 0.0}",runs/run-20260710T153757-bef30d8b/processed/B000002_grayscale.png
11,B000008,ctrl-cap-99cb0c3bb8-frame-000000-blank_mean,control,structure_score,0.0,0.0,0.0,grayscale,0.0,,runs/run-20260710T153757-bef30d8b/generated_controls/cap-99cb0c3bb8-frame-000000/blank_mean.png,0,blank_mean,1.0,"{'diffraction': 0.0, 'speckle': 0.0, 'symbol': 0.0, 'texture': 0.0}",runs/run-20260710T153757-bef30d8b/processed/B000008_grayscale.png
